category,event,id,compumedics,signal,notes
Stages,Wake,wake,0,,Epoch scored as Wake
Stages,Stage 1 sleep,stage1,1,,Epoch scored as Stage 1 Sleep
Stages,Stage 2 sleep,stage2,2,,Epoch scored as Stage 2 Sleep
Stages,Stage 3 sleep,stage3,3,,Epoch scored as Stage 3 Sleep
Stages,Stage 4 sleep,stage4,4,,Epoch scored as Stage 4 Sleep
Stages,REM sleep,rem,5,,Epoch scored as REM Sleep
Stages,Movement,movement,6,,Epoch scored as ppt time spent in movement
Stages,Unscored,unscored,9,,Unscored epoch
Stages,Artifact,artifact,10,,Epoch scored as artifact
Stages,Beginning of time in bed,begintimebed,,,Beginning of time in bed
Stages,End of time in bed,endtimebed,,,End of time in bed
Stages,Beginning of analysis period,beginanalysis,,,Beginning of analysis period
Stages,End of analysis period ,endanalysis,,,End of analysis period
Respiratory,SpO2 desaturation ,spo2desat,SpO2 desaturation,SaO2#SAO2#SpO2#SPO2,SpO2 desaturation
Respiratory,SpO2 artifact ,spo2artifact,SpO2 artifact,SaO2#SAO2#SpO2#SPO2,SpO2 artifact
Respiratory,Hypopnea,hypopnea,Hypopnea,CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#AIRFLOW#Airflow#NEW AIR#Thermistor#Therm,> 4% decrease in SpO2 with > 30% decrease in flow lasting > 10 seconds (AASM definition)
Respiratory,Obstructive hypopnea ,obsthypopnea,Obstructive Hypopnea,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,> 4% decrease in SpO2 with > 30% decrease in flow and partially occluded airway lasting > 10 seconds
Respiratory,Central hypopnea ,centhypopnea,Central Hypopnea,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,> 4% decrease in SpO2 with > 30% decrease in flow and no respiratory effort lasting > 10 seconds
Respiratory,Mixed hypopnea ,mixedhypopnea,Mixed Hypopnea,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,> 4% decrease in SpO2 with both central then obstructive components lasting > 10 seconds
Respiratory,Obstructive apnea ,obstapnea,Obstructive Apnea,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,>90% reduction in thermistor flow lasting > 10 seconds
Respiratory,Central apnea ,centapnea,Central Apnea,AIRFLOW#Airflow#NEW AIR#Thermistor#Therm#CannulaFlow#Cannula Flow#Nasal#NASAL PRES#Pres#Thorax#Thoracic#THOR RES#THOR EFFORT#Thor#Chest#Abdomen#Abdominal#ABDO RES#ABDO EFFORT#ABDO#ABD,>90% reduction in thermistor flow with no respiratory effort lasting > 10 seconds
