category,event,id,ares,signal location,code,attribute,subattribute,notes
Stages,Start TIB N1,begintimebed,Start TIB N1,IrNgn,5011,0,0,"Generally the first 15 minutes of the study, it is assumed that the participant is awake during this time.  This time can be altered if the participant appeared to take a longer or shorter amount of time to go to sleep"
Stages,Stop TIB N1,endtimebed,Stop TIB N1,IrNgn,5012,0,0,Generally the last 3 minutes of the study.  This time can be altered if needed.
Stages,Start N1,beginanalysis,Start N1,IrNgn,5216,0,0,"a point at which N1 is started, generally right at the beginning of a study"
Stages,User Shutoff,usershutoff,User Shutoff,IrNgn,1001,0,0,user shut off
Stages,7 hours completed,sevenhourshutoff,7 hours completed,IrNgn,1001,2,0,shut off after 7 hours of continuous recording
Stages,Low Battery,lowbatteryshutoff,Low Battery,IrNgn,1001,1,0,shut off due to low battery
Stages,NREM-2933-2-0,nremauto,NREM-2933-2-0,IrNgn,2933,2,0,computer annotated NREM sleep
Stages,NREM-2934-2-0,nremman,NREM-2934-2-0,IrNgn,2934,2,0,manually annotated NREM sleep
Stages,REM-2933-5-0,remauto,REM-2933-5-0,IrNgn,2933,5,0,computer annotated REM sleep
Stages,REM-2934-5-0,remman,REM-2934-5-0,IrNgn,2934,5,0,manually annotated REM sleep
Stages,Slow wave-2933-3-0,slowwaveauto ,Slow wave-2933-3-0,IrNgn,2933,3,0,computer annotated Slow wave sleep
Stages,Slow wave-2934-3-0,slowwaveman,Slow wave-2934-3-0,IrNgn,2934,3,0,manually annotated Slow Wave sleep
Stages,Awake-11003-0-0,awaketimebed,Awake-11003-0-0,IrNgn,11003,0,0,TIB channel Awake code 11003 att. 0 subatt. 0
Stages,Awake-2933-0-0,awakeauto,Awake-2933-0-0,IrNgn,2933,0,0,computer annotated Awake code 2933 att. 0 subatt. 0
Stages,Awake-2934-0-0,awakeman,Awake-2934-0-0,IrNgn,2934,0,0,manually annotated Awake code 2934 att. 0 subatt. 0
Stages,ExTIB Awake-5156-0-0,excludeawake515600,ExTIB Awake-5156-0-0,IrNgn,5156,0,0,excluded area due to the participant being awake code 5156 att. 0 subatt. 0
Stages,ExTIB Awake-5156-0-1,excludeawake515601,ExTIB Awake-5156-0-1,IrNgn,5156,0,1,excluded area due to the participant being awake code 5156 att. 0 subatt. 1
