EventType,Event,Value,Note
Arousal,Arousal (),SDO:SleepArousalFinding,
Arousal,Arousal (ARO Limb),SDO:SleepArousalFinding,Associated with Limb Movement
Arousal,Arousal (ARO RES),SDO:SleepArousalFinding,Associated with Respiratory Event
Arousal,Arousal (ASDA),SDO:SleepArousalFinding,ASDA Arousal
Arousal,RERA,SDO:SleepArousalFinding,RERA
Artifact,Blood pressure artifact,SignalArtifactEvent,Blood pressure artifact
Artifact,Distal pH artifact,SignalArtifactEvent,Distal pH artifact
Artifact,EtCO2 Artifact,SignalArtifactEvent,EtCO2 Artifact
Artifact,Proximal pH artifact,SignalArtifactEvent,Proximal pH artifact
Artifact,Respiratory Artifact,SignalArtifactEvent,Respiratory Artifact
Artifact,SpO2 artifact,SignalArtifactEvent,SpO2 artifact
Artifact,TcCO2 artifact,SignalArtifactEvent,TcCO2 artifact
Oximetry Artifact,SpO2 artifact,Oximetry Artifact Event,
Desaturation,SpO2 desaturation,SDO:HemoglobinOxygenDesaturationFinding,
ECG,Bradycardia,SDO:ElectroCardiographyFinding,Bradycardia
ECG,Tachycardia,SDO:ElectroCardiographyFinding,Tachycardia
EpochLength,,30,
Limb Movement,Limb Movement (Left),SDO:LeftLowerLimbMovementDuringSleep,
Limb Movement,Limb Movement (Right),SDO:RightLowerLimbMovementDuringSleep,
Limb Movement,PLM (Left),SDO:PeriodicLeftLowerLimbMovementDuringSleep,
Limb Movement,PLM (Right),SDO:PeriodicRightLowerLimbMovementDuringSleep,
Respiratory,Central Apnea,SDO:CentralApneaFinding,
Respiratory,Central Hypopnea,SDO:HypopneaFinding,Central Hypopnea
Respiratory,Cheyne Stokes Breathing,SDO:PolysomnographyFinding,Cheyne Stokes Breathing
Respiratory,Hypopnea,SDO:HypopneaFinding,
Respiratory,Mixed Apnea,SDO:MixedApneaFinding,
Respiratory,Mixed Hypopnea,SDO:HypopneaFinding,Mixed Hypopnea
Respiratory,Obstructive Apnea,SDO:ObstructiveApneaFinding,
Respiratory,Obstructive Hypopnea,SDO:HypopneaFinding,Obstructive Hypopnea
Respiratory,Respiratory Paradox,SDO:PolysomnographyFinding,Respiratory Paradox Event
Respiratory,Unsure,SDO:PolysomnographyFinding,Unsure Respiratory Event
Sleep Staging,0,SDO:WakeState,
Sleep Staging,1,SDO:NonRapidEyeMovementSleep-N1,
Sleep Staging,2,SDO:NonRapidEyeMovementSleep-N2,
Sleep Staging,3,SDO:NonRapidEyeMovementSleep-N3,
Sleep Staging,4,SDO:NonRapidEyeMovementSleep-N4,
Sleep Staging,5,SDO:RapidEyeMovementSleep,
Sleep Staging,Artifact,SDO:WakeState,
Sleep Staging,Movement,SDO:WakeState,
Sleep Staging,Unsure,SDO:WakeState,
Snore,Snore,SDO:PolysomnographyFinding,Snore Event
