EventType,Event,EventConcept,Notes
Staging,SLEEP-S0,SRO:Wake,Epoch scored as Wake
Staging,SLEEP-S1,SRO:Stage1Sleep,Epoch scored as Stage 1 Sleep
Staging,SLEEP-S2,SRO:Stage2Sleep,Epoch scored as Stage 2 Sleep
Staging,SLEEP-S3,SRO:Stage3Sleep,Epoch scored as Stage 3 Sleep
Staging,SLEEP-S4,SRO:Stage4Sleep,Epoch scored as Stage 4 Sleep
Staging,SLEEP-REM,SRO:RapidEyeMovement,Epoch scored as REM Sleep
Staging,SLEEP-UNSCORED,SRO:UnscoredEpoch,Unscored epoch
Staging,LIGHTS-OFF,SRO:LightsOff,Beginning of time in bed
Staging,LIGHTS-ON,SRO:LightsOn,End of time in bed
Staging,ANALYSIS-START,SRO:AnalysisStart,Beginning of analysis period
Staging,ANALYSIS-STOP,SRO:AnalysisStop,End of analysis period
Respiratory,DESAT,SRO:SpO2Desaturation,SpO2 desaturation
Respiratory,HYPOPNEA,SRO:Hypopnea,> 4% decrease in SpO2 with > 30% decrease in flow lasting > 10 seconds (AASM definition)
Respiratory,HYPOPNEA-OBSTRUCTIVE,SRO:ObstructiveHypopnea,> 4% decrease in SpO2 with > 30% decrease in flow and partially occluded airway lasting > 10 seconds
Respiratory,HYPOPNEA-CENTRAL,SRO:CentralHypopnea,> 4% decrease in SpO2 with > 30% decrease in flow and no respiratory effort lasting > 10 seconds
Respiratory,HYPOPNEA-MIXED,SRO:MixedHypopnea,"> 4% decrease in SpO2 with both central, then obstructive components lasting > 10 seconds"
Respiratory,APNEA-OBSTRUCTIVE,SRO:ObstructiveApnea,>90% reduction in thermistor flow lasting > 10 seconds
Respiratory,APNEA-CENTRAL,SRO:CentralApnea,>90% reduction in thermistor flow with no respiratory effort lasting > 10 seconds
Respiratory,APNEA-MIXED,SRO:MixedApnea,>10 second period containing both obstructive and central components
Respiratory,APNEA,SRO:Apnea,>90% reduction in thermistor flow lasting > 10 seconds
Respiratory,RESP-RERA,SRO:RespiratoryEventRelatedArousal,Period of >10 seconds of increasing respiratory effort leading to arousal
Respiratory,SNORE,SRO:Snore,Snoring
Respiratory,RESP-MOVEMENT-PARADOXICAL,SRO:ParadoxicalBreathing,Out of phase thoracic and abdominal effort.
Respiratory,RESP-BREATH-CHEYNESTOKES,SRO:CheyneStokesBreathing,>3 cycles of increasing then decreasing breathing amplitude resulting in apnea
Respiratory,RESP-BREATH-PERIODICBREATHING,SRO:PeriodicBreathing,Cycles of increasing and decreasing respiratory effort
Arousal,AROUSAL,SRO:Arousal,Arousal (with blank label)
Arousal,AROUSAL-APNEA,SRO:ArousalApnea,Arousal resulting from apnea
Arousal,AROUSAL-DESAT,SRO:ArousalDesaturation,Arousal resulting from SpO2 desaturation
Arousal,AROUSAL-PLM,SRO:ArousalPLM,Arousa resulting from a PLM series
Arousal,AROUSAL-LM,SRO:ArousalLM,Arousal resutling from limb movement
Arousal,AROUSAL-RESP,SRO:ArousalRespiratory,Arousal resulting from respiratory effort
Arousal,AROUSAL-SPONT,SRO:ArousalSpontaneous,Spontanoues arousal
Arousal,AROUSAL-SNORE,SRO:ArousalSnore,Arousal resulting from snoring
Arousal,AROUSAL-RERA,SRO:ArousalRespiratoryEventRelatedArousal,Arousal resulting from respiratory effort
Cardiac,EKG-BRADYCARDIA,SRO:Bradycardia,Heart rate < 40 BPM
Cardiac,EKG-TACHYCARDIA,SRO:Tachycardia,Heart rate > 90 BPM
Cardiac,EKG-ASYTOLE,SRO:Asystole,No heart beat for >3 seconds
Cardiac,EKG-NCTACHYCARDIA,SRO:NarrowComplexTachycardia,> 3 consecutive beats at >100 BPM with a QRS interval > 120 ms
Cardiac,EKG-WCTACHYCARDIA,SRO:WideComplexTachycardia,> 3 consecutive beats at >100 BPM with a QRS interval < 120 ms
Cardiac,EKG-AFIBRILLATION,SRO:AtrialFibrillation,Irregularly regular rhythm with no P waves and no consistent waveform
Cardiac,EKG-STACHYCARDIA,SRO:SinusTachycardia,Rhythm > 100 BPM with normal waveforms
Limb Movement,PLM,SRO:PeriodicLimbMovementSeries,Series of > 4 LMs at 5-90 second intervals
Limb Movement,PLM-LM,SRO:LimbMovement,EMG activity lasting 0.5-10 seconds
Limb Movement,PLM-RRLM,SRO:RespiratoryRelatedLimbMovement,Respiratory Related LM
Body Position,POSITION-SUPINE,SRO:PositionChangeSupine,Body position change to supine
Body Position,POSITION-PRONE,SRO:PositionChangeProne,Body position change to prone
Body Position,POSITION-LEFT,SRO:PositionChangeLeft,Body position change to left
Body Position,POSITION-RIGHT,SRO:PositionChangeRight,Body position change to right
Body Position,POSITION-UPRIGHT,SRO:PositionChangeUpright,Body position change to upright
Body Position,POSITION-UNKNOWN,SRO:PositionChangeUnknown,Body position change to uknown
Other,ACTIVITY-MOVE,SRO:RecordedBodyMovement,Ppt movement
Other,RESERVED-SELECTION,SRO:SignalArtifact,This is an unknown event generated by Embla
Other,SIGNAL-ARTIFACT,SRO:SignalArtifact,Generic signal artifact
